no_polygon,kebun,afdeling,kode_blok,koordinat
7000055,Unit Way Berulu,Afdeling C,KR012D,"-4.56392468875049,104.631374254757"
7000029,Unit Way Berulu,Afdeling C,KR012E,"-4.57104089412286,104.64706218333"
7000076,Unit Way Berulu,Afdeling C,KR013D,"-4.56099323351485,104.638125605727"
7000071,Unit Way Berulu,Afdeling C,KR013E,"-4.56331488283988,104.677447882173"
7000074,Unit Way Berulu,Afdeling C,KR013E,"-4.56833452510613,104.675052361497"
7000058,Unit Way Berulu,Afdeling C,KR013F,"-4.57075843732287,104.68385225177"
7000064,Unit Way Berulu,Afdeling C,KR013F,"-4.57035813065746,104.670727885118"
7000066,Unit Way Berulu,Afdeling C,KR014D,"-4.55087308758553,104.639331534024"
7000042,Unit Way Berulu,Afdeling C,KR014E,"-4.58046999018348,104.66194869254"
7000075,Unit Way Berulu,Afdeling C,KR014E,"-4.57070229978894,104.660697979595"
7000080,Unit Way Berulu,Afdeling C,KR014F,"-4.56714014437956,104.665385259322"
7000083,Unit Way Berulu,Afdeling C,KR014F,"-4.56844326441498,104.664707125169"
7000043,Unit Way Berulu,Afdeling C,KR2010,"-4.60680048584566,104.673596621158"
7000056,Unit Way Berulu,Afdeling C,KR2010,"-4.60846628182354,104.673245141253"
7000019,Unit Way Berulu,Afdeling C,KR2011,"-4.60430338687261,104.66526209257"
7000057,Unit Way Berulu,Afdeling C,KR2011,"-4.60487628393897,104.667333389998"
7000020,Unit Way Berulu,Afdeling C,KR2012,"-4.60510802626697,104.655109961289"
7000068,Unit Way Berulu,Afdeling C,KR984E,"-4.58188419263213,104.643825716808"
7000023,Unit Way Berulu,Afdeling C,KR996A,"-4.55767542062303,104.681988672556"
7000077,Unit Way Berulu,Afdeling C,KR996B,"-4.56144696680657,104.668389428484"
7000025,Unit Way Berulu,Afdeling C,KRD011,"-4.60929545451429,104.661234727706"
7000073,Unit Way Berulu,Afdeling C,KRE012,"-4.61456409335665,104.663845856273"
7000059,Unit Way Berulu,Afdeling C,KRE012,"-4.61149814679898,104.659121659357"
